DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	BBC SIMULCAST TIME START	BBC SIMULCAST TIME END	MTV SIMULCAST TIME START	MTV SIMULCAST TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	12:08:45	12:12:57	1985-07-13	17:08:45	17:12:57	05:20:45	05:24:57	05:13:06	05:17:18	00:04:12	Philadelphia	Bryan Adams	Tears Are Not Enough	
1985-07-13	12:12:57	12:18:31	1985-07-13	17:12:57	17:18:31	05:24:57	05:30:31	05:17:18	05:22:52	00:05:34	Philadelphia	Bryan Adams	Cuts Like a Knife	
1985-07-13	12:19:00	12:19:29	1985-07-13	17:19:00	17:19:29	05:31:00	05:31:29	05:23:21	05:23:50	00:00:29	London	U2	Introduction (Philadelphia) by Jack Nicholson	
1985-07-13	12:19:29	12:20:10	1985-07-13	17:19:29	17:20:10	05:31:29	05:32:10	05:23:50	05:24:31	00:00:41	London	U2	Introduction (London) by Tommy Vance	
1985-07-13	12:20:10	12:25:30	1985-07-13	17:20:10	17:25:30	05:32:10	05:37:30	05:24:31	05:29:51	00:05:20	London	U2	Sunday Bloody Sunday	
1985-07-13	12:25:30	12:37:57	1985-07-13	17:25:30	17:37:57	05:37:30	05:49:57	05:29:51	05:42:18	00:12:27	London	U2	Bad	Note: Included Satellite of Love - Lou Reed; Ruby Tuesday - Rolling Stones; Sympathy for the Devil - Rolling Stones; Walk on the Wild Side - Lou Reed
1985-07-13	12:39:00	12:39:20	1985-07-13	17:39:00	17:39:20	05:51:00	05:51:20	05:43:21	05:43:41	00:00:20	Philadelphia	The Beach Boys	Introduction by Bill Graham of Marilyn McCoo	
1985-07-13	12:39:20	12:39:53	1985-07-13	17:39:20	17:39:53	05:51:20	05:51:53	05:43:41	05:44:14	00:00:33	Philadelphia	The Beach Boys	Introduction by Marilyn McCoo	
1985-07-13	12:39:53	12:42:24	1985-07-13	17:39:53	17:42:24	05:51:53	05:54:24	05:44:14	05:46:45	00:02:31	Philadelphia	The Beach Boys	California Girls	
1985-07-13	12:42:24	12:45:31	1985-07-13	17:42:24	17:45:31	05:54:24	05:57:31	05:46:45	05:49:52	00:03:07	Philadelphia	The Beach Boys	"Help Me, Rhonda"	
1985-07-13	12:45:31	12:48:34	1985-07-13	17:45:31	17:48:34	05:57:31	06:00:34	05:49:52	05:52:55	00:03:03	Philadelphia	The Beach Boys	Wouldn't It Be Nice	
1985-07-13	12:48:34	12:53:20	1985-07-13	17:48:34	17:53:20	06:00:34	06:05:20	05:52:55	05:57:41	00:04:46	Philadelphia	The Beach Boys	Good Vibrations	
1985-07-13	12:53:20	12:56:00	1985-07-13	17:53:20	17:56:00	06:05:20	06:08:00	05:57:41	06:00:21	00:02:40	Philadelphia	The Beach Boys	Surfin' U.S.A.	
